Tahun;Bulan;tgl;temp7;temp13;temp18;temp_avg;temp_24;temp_max;temp_min;CH;light_hour;light_per;pck;tgl;press;humid7;humid13;humid18;humid_avg;humid_24;ws_abg;mod_dir;max_ws;dir;rainfall_category
2021;2;26.00.00;26.02.00;31.00.00;28.03.00;27.09.00;28.02.00;33.05.00;25.05.00;9;06.05;81.25.00;TS RA Lightning;26;1007.06.00;9.032.925.307.559.570;7.037.064.327.856.350;8.336.465.062.467.630;84.00.00;84.00.00;5.166.666.666.666.660;BL;16.00;300.00.00;
2021;2;27.00.00;26.02.00;34.00.00;25.01.00;27.09.00;26.05.00;34.02.00;23.06;22.03;05.00;62.05.00;TS RA  ;27;1008.04.00;9.032.925.307.559.570;6.097.823.919.749.410;949.881.630.915.742;84.00.00;88.00.00;04.00;TG;17.00;280.00.00;
2021;2;28.00.00;24.06.00;32.06.00;26.00.00;27.00.00;27.03.00;33.00.00;24.06.00;74.08.00;03.07;46.25.00;  RA  ;28;1009.02.00;9.576.707.288.115.010;6.344.489.039.279.680;9.028.585.167.216.600;86.00.00;86.00.00;27.916.666.666.666.600;BL;07.00;180.00.00;
2021;3;01.00;25.06.00;33.06.00;28.00.00;28.02.00;28.03.00;34.02.00;25.02.00;21.05;03.02;40.00.00;TS RA  ;01.00;1010.08.00;9.504.508.007.848.050;59.573.172.078.111.500;7.892.403.142.117.560;82.00.00;83.00.00;38.333.333.333.333.300;T;21.00;180.00.00;
2021;3;02.00;26.04.00;33.02.00;25.02.00;27.08.00;27.00.00;33.06.00;23.06;24.02.00;03.04;42.05.00;TS RA  ;02.00;1011.04.00;9.433.225.341.453.430;63.848.985.504.591.800;9.010.748.481.432.000;86.00.00;85.00.00;5.375;U;29.00.00;100.00.00;
2021;3;03.00;25.02.00;32.00.00;28.04.00;27.07.00;27.09.00;32.04.00;24.08.00;20.08;04.09;6.125.000.000.000.000;  RA  ;03.00;1011.01.00;9.172.637.247.271.510;6.663.043.910.631.730;833.995.240.550.639;83.00.00;82.00.00;38.333.333.333.333.300;B;10.00;350.00.00;
2021;3;04.00;24.08.00;31.08.00;28.00.00;27.04.00;27.05.00;32.08.00;24.06.00;00.08;04.08;60.00.00;TS RA  ;04.00;1011.07.00;9.662.327.570.662.340;6.711.351.805.563.020;8.472.525.309.285.920;86.00.00;84.00.00;4.791.666.666.666.660;BL;15.00;320.00.00;
2021;3;05.00;25.04.00;33.00.00;29.00.00;28.02.00;27.05.00;33.02.00;23.08;14.02;05.06;70.00.00;TS RA  ;05.00;1011.07.00;9.095.705.306.620.100;6.026.014.815.147.460;8.076.528.192.707.860;81.00.00;83.00.00;38.333.333.333.333.300;U;25.00.00;170.00.00;
2021;3;06.00;25.06.00;29.02.00;28.04.00;27.02.00;27.00.00;33.05.00;24.05.00;41.03.00;00.07;0,385416667;  RA Lightning;06.00;1011.02.00;958.633.603.365.631;7.463.184.462.827.450;7.981.134.216.844.920;87.00.00;86.00.00;38.333.333.333.333.300;U;12.00;100.00.00;
2021;3;07.00;25.04.00;30.03.00;28.03.00;27.04.00;27.02.00;31.00.00;24.06.00;07.05;04.05;56.25.00;  RA  ;07.00;1011.03.00;9.176.423.123.386.560;751.900.251.597.877;8.264.018.508.563.040;85.00.00;84.00.00;5.291.666.666.666.660;BL;13.00;340.00.00;
2021;3;08.00;25.00.00;31.06.00;28.05.00;27.05.00;27.05.00;32.07.00;25.00.00;11.09;05.03;66.25.00;  RA  ;08.00;1011.04.00;9.332.637.261.393.610;6.637.430.989.575.630;791.453.968.715.332;83.00.00;80.00.00;05.00;B;15.00;300.00.00;
2021;3;09.00;25.05.00;31.09.00;29.00.00;28.00.00;28.06.00;32.04.00;25.04.00;TTU;02.04;30.00.00;  RA  ;09.00;1010.07.00;8.778.549.878.021.400;5.826.855.170.740.180;7.520.991.612.349.520;77.00.00;77.00.00;3.875;BL;15.00;310.00.00;
2021;3;10.00;26.09.00;30.08.00;27.02.00;28.00.00;27.09.00;32.00.00;26.02.00;00.02;03.02;40.00.00;  RA  ;10.00;1011.06.00;8.360.631.233.434.020;7.025.431.742.012.520;8.596.375.009.384.040;81.00.00;81.00.00;4.083.333.333.333.330;BL;10.00;320.00.00;
2021;3;11.00;26.04.00;32.02.00;26.04.00;27.09.00;27.04.00;32.08.00;24.02.00;-;03.00;37.05.00;     ;11.00;1011.07.00;8.571.477.167.459.540;6.257.846.019.952.730;8.115.807.983.141.400;79.00.00;79.00.00;05.00;BL;11.00;340.00.00;
2021;3;12.00;25.03.00;33.00.00;24.08.00;27.01.00;27.06.00;33.02.00;24.06.00;1;05.08;72.05.00;  RA  ;12.00;1011.07.00;8.772.936.180.164.760;56.880.521.396.064.000;9.247.088.262.242.750;81.00.00;80.00.00;04.25;BL;16.00;320.00.00;
2021;3;13.00;25.01.00;33.07.00;24.04.00;27.01.00;27.04.00;34.06.00;24.02.00;13.06;06.06;82.05.00;TS RA  ;13.00;1011.06.00;9.089.449.208.238.990;5.964.654.294.539.600;9.490.583.201.544.270;84.00.00;84.00.00;32.083.333.333.333.300;B;13.00;320.00.00;
2021;3;14.00;25.03.00;33.02.00;28.08.00;28.02.00;28.01.00;33.07.00;24.08.00;13.06;04.04;5.500.000.000.000.000;TS RA  ;14.00;1010.02.00;9.255.734.073.449.950;5.429.064.351.526.000;813.945.593.906.994;80.00.00;80.00.00;34.583.333.333.333.300;U;09.00;30.00.00;
